DATE,VALUE
1833-01-15,18.930
1833-02-15,18.930
1833-03-15,18.930
1833-04-15,18.930
1833-05-15,18.930
1833-06-15,18.930
1833-07-15,18.930
1833-08-15,18.930
1833-09-15,18.930
1833-10-15,18.930
1833-11-15,18.930
1833-12-15,18.930
1834-01-15,18.930
1834-02-15,18.930
1834-03-15,18.930
1834-04-15,18.930
1834-05-15,18.930
1834-06-15,18.930
1834-07-15,18.930
1834-08-15,18.930
1834-09-15,18.930
1834-10-15,18.930
1834-11-15,18.930
1834-12-15,18.930
1835-01-15,18.930
1835-02-15,18.930
1835-03-15,18.930
1835-04-15,18.930
1835-05-15,18.930
1835-06-15,18.930
1835-07-15,18.930
1835-08-15,18.930
1835-09-15,18.930
1835-10-15,18.930
1835-11-15,18.930
1835-12-15,18.930
1836-01-15,18.930
1836-02-15,18.930
1836-03-15,18.930
1836-04-15,18.930
1836-05-15,18.930
1836-06-15,18.930
1836-07-15,18.930
1836-08-15,18.930
1836-09-15,18.930
1836-10-15,18.930
1836-11-15,18.930
1836-12-15,18.930
1837-01-15,18.930
1837-02-15,18.930
1837-03-15,18.930
1837-04-15,18.930
1837-05-15,18.930
1837-06-15,18.930
1837-07-15,18.930
1837-08-15,18.930
1837-09-15,18.930
1837-10-15,18.930
1837-11-15,18.930
1837-12-15,18.930
1838-01-15,18.930
1838-02-15,18.930
1838-03-15,18.930
1838-04-15,18.930
1838-05-15,18.930
1838-06-15,18.930
1838-07-15,18.930
1838-08-15,18.930
1838-09-15,18.930
1838-10-15,18.930
1838-11-15,18.930
1838-12-15,18.930
1839-01-15,18.930
1839-02-15,18.930
1839-03-15,18.930
1839-04-15,18.930
1839-05-15,18.930
1839-06-15,18.930
1839-07-15,18.930
1839-08-15,18.930
1839-09-15,18.930
1839-10-15,18.930
1839-11-15,18.930
1839-12-15,18.930
1840-01-15,18.930
1840-02-15,18.930
1840-03-15,18.930
1840-04-15,18.930
1840-05-15,18.930
1840-06-15,18.930
1840-07-15,18.930
1840-08-15,18.930
1840-09-15,18.930
1840-10-15,18.930
1840-11-15,18.930
1840-12-15,18.930
1841-01-15,18.930
1841-02-15,18.930
1841-03-15,18.930
1841-04-15,18.930
1841-05-15,18.930
1841-06-15,18.930
1841-07-15,18.930
1841-08-15,18.930
1841-09-15,18.930
1841-10-15,18.930
1841-11-15,18.930
1841-12-15,18.930
1842-01-15,18.930
1842-02-15,18.930
1842-03-15,18.930
1842-04-15,18.930
1842-05-15,18.930
1842-06-15,18.930
1842-07-15,18.930
1842-08-15,18.930
1842-09-15,18.930
1842-10-15,18.930
1842-11-15,18.930
1842-12-15,18.930
1843-01-15,18.930
1843-02-15,18.930
1843-03-15,18.930
1843-04-15,18.930
1843-05-15,18.930
1843-06-15,18.930
1843-07-15,18.930
1843-08-15,18.930
1843-09-15,18.930
1843-10-15,18.930
1843-11-15,18.930
1843-12-15,18.930
1844-01-15,18.930
1844-02-15,18.930
1844-03-15,18.930
1844-04-15,18.930
1844-05-15,18.930
1844-06-15,18.930
1844-07-15,18.930
1844-08-15,18.930
1844-09-15,18.930
1844-10-15,18.930
1844-11-15,18.930
1844-12-15,18.930
1845-01-15,18.930
1845-02-15,18.930
1845-03-15,18.930
1845-04-15,18.930
1845-05-15,18.930
1845-06-15,18.930
1845-07-15,18.930
1845-08-15,18.930
1845-09-15,18.930
1845-10-15,18.930
1845-11-15,18.930
1845-12-15,18.930
1846-01-15,18.930
1846-02-15,18.930
1846-03-15,18.930
1846-04-15,18.930
1846-05-15,18.930
1846-06-15,18.930
1846-07-15,18.930
1846-08-15,18.930
1846-09-15,18.930
1846-10-15,18.930
1846-11-15,18.930
1846-12-15,18.930
1847-01-15,18.930
1847-02-15,18.930
1847-03-15,18.930
1847-04-15,18.930
1847-05-15,18.930
1847-06-15,18.930
1847-07-15,18.930
1847-08-15,18.930
1847-09-15,18.930
1847-10-15,18.930
1847-11-15,18.930
1847-12-15,18.930
1848-01-15,18.930
1848-02-15,18.930
1848-03-15,18.930
1848-04-15,18.930
1848-05-15,18.930
1848-06-15,18.930
1848-07-15,18.930
1848-08-15,18.930
1848-09-15,18.930
1848-10-15,18.930
1848-11-15,18.930
1848-12-15,18.930
1849-01-15,18.930
1849-02-15,18.930
1849-03-15,18.930
1849-04-15,18.930
1849-05-15,18.930
1849-06-15,18.930
1849-07-15,18.930
1849-08-15,18.930
1849-09-15,18.930
1849-10-15,18.930
1849-11-15,18.930
1849-12-15,18.930
1850-01-15,18.930
1850-02-15,18.930
1850-03-15,18.930
1850-04-15,18.930
1850-05-15,18.930
1850-06-15,18.930
1850-07-15,18.930
1850-08-15,18.930
1850-09-15,18.930
1850-10-15,18.930
1850-11-15,18.930
