DATE,VALUE
1999-01-04,8002
1999-01-05,7901
1999-01-06,7952
1999-01-07,7926
1999-01-08,7996
1999-01-11,8001
1999-01-12,8074
1999-01-13,8699
1999-01-14,8651
1999-01-15,8958
1999-01-18,8447
1999-01-19,8570
1999-01-20,8469
1999-01-21,8649
1999-01-22,8908
1999-01-25,9349
1999-01-26,9169
1999-01-27,9176
1999-01-28,9151
1999-01-29,8923
1999-02-01,8898
1999-02-02,8800
1999-02-03,8427
1999-02-04,8676
1999-02-05,8750
1999-02-08,8900
1999-02-09,8751
1999-02-10,8602
1999-02-11,8703
1999-02-12,8753
1999-02-15,8599
1999-02-16,8750
1999-02-17,8756
1999-02-18,8824
1999-02-19,8827
1999-02-22,8902
1999-02-23,8832
1999-02-24,8798
1999-02-25,8841
1999-02-26,8828
1999-03-01,8864
1999-03-02,8867
1999-03-03,8864
1999-03-04,8895
1999-03-05,8760
1999-03-08,8948
1999-03-09,8979
1999-03-10,9073
1999-03-11,9465
1999-03-12,9201
1999-03-15,8750
1999-03-16,8792
1999-03-17,9001
1999-03-18,9024
1999-03-19,8877
1999-03-22,8891
1999-03-23,8899
1999-03-24,8851
1999-03-25,8847
1999-03-26,8868
1999-03-29,8824
1999-03-30,8730
1999-03-31,8699
1999-04-01,8646
1999-04-02,8626
1999-04-05,8650
1999-04-06,8777
1999-04-07,8749
1999-04-08,8753
1999-04-09,8748
1999-04-12,8731
1999-04-13,8725
1999-04-14,8652
1999-04-15,8661
1999-04-16,8655
1999-04-19,8634
1999-04-20,8626
1999-04-21,8640
1999-04-22,8597
1999-04-23,8573
1999-04-26,8623
1999-04-27,8587
1999-04-28,8543
1999-04-29,8254
1999-04-30,8227
1999-05-03,7948
1999-05-04,7950
1999-05-05,8012
1999-05-06,8037
1999-05-07,7850
1999-05-10,7717
1999-05-11,7679
1999-05-12,7827
1999-05-13,7829
1999-05-14,7815
1999-05-17,7961
1999-05-18,7875
1999-05-19,8087
1999-05-20,8025
1999-05-21,8039
1999-05-24,8056
1999-05-25,7984
1999-05-26,8090
1999-05-27,8098
1999-05-28,8105
1999-05-31,8100
1999-06-01,8125
1999-06-02,8153
1999-06-03,8175
1999-06-04,8076
1999-06-07,7728
1999-06-08,7607
1999-06-09,7749
1999-06-10,7716
1999-06-11,7673
1999-06-14,7449
1999-06-15,7285
1999-06-16,7269
1999-06-17,7270
1999-06-18,7286
1999-06-21,7005
1999-06-22,6886
1999-06-23,6698
1999-06-24,6754
1999-06-25,6896
1999-06-28,6614
1999-06-29,6678
1999-06-30,6665
1999-07-01,6849
1999-07-02,6829
1999-07-05,6702
1999-07-06,6718
1999-07-07,6726
1999-07-08,6620
1999-07-09,6642
1999-07-12,6626
1999-07-13,6635
1999-07-14,6644
1999-07-15,6704
1999-07-16,6768
1999-07-19,6720
1999-07-20,6683
1999-07-21,6711
1999-07-22,6776
1999-07-23,6905
1999-07-26,7027
1999-07-27,6991
1999-07-28,6876
1999-07-29,6815
1999-07-30,6836
1999-08-02,6858
1999-08-03,6893
1999-08-04,6911
1999-08-05,7015
1999-08-06,7031
1999-08-09,7055
1999-08-10,7339
1999-08-11,7885
1999-08-12,8076
1999-08-13,7917
1999-08-16,7524
1999-08-17,7686
1999-08-18,7379
1999-08-19,7275
1999-08-20,7173
1999-08-23,7540
1999-08-24,7747
1999-08-25,7575
1999-08-26,7497
1999-08-27,7560
1999-08-30,7709
1999-08-31,7705
1999-09-01,7684
1999-09-02,7715
1999-09-03,7860
1999-09-06,8063
1999-09-07,8342
1999-09-08,8638
1999-09-09,8686
1999-09-10,8250
1999-09-13,7901
1999-09-14,8175
1999-09-15,8142
